epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,315.361,1.40582,2.68531,0.00663,0.56334,0.24489,0.21979,0.13835,1.40233,2.68232,0.00718,7.20231e-05,7.20231e-05,7.20231e-05
79,319.914,1.42165,2.73886,0.00679,0.60184,0.24693,0.22405,0.14216,1.39493,2.67056,0.00714,6.90234e-05,6.90234e-05,6.90234e-05
80,323.346,1.4388,2.65514,0.0063,0.60035,0.24506,0.22436,0.14289,1.38816,2.66573,0.00712,6.60237e-05,6.60237e-05,6.60237e-05
81,326.758,1.44497,2.76863,0.00773,0.60182,0.24913,0.22285,0.1411,1.3813,2.65949,0.00711,6.3024e-05,6.3024e-05,6.3024e-05
82,330.061,1.4437,2.60965,0.00676,0.56515,0.2557,0.22322,0.14219,1.37281,2.66015,0.00707,6.00243e-05,6.00243e-05,6.00243e-05
83,334.374,1.47841,2.81369,0.00741,0.60066,0.25454,0.2275,0.14416,1.37509,2.65908,0.00712,5.70246e-05,5.70246e-05,5.70246e-05
84,337.595,1.41916,2.71515,0.00622,0.60213,0.25653,0.22591,0.14253,1.37762,2.6497,0.00713,5.40249e-05,5.40249e-05,5.40249e-05
85,340.878,1.44653,2.74817,0.00738,0.60254,0.25909,0.22742,0.14386,1.37711,2.64459,0.00713,5.10252e-05,5.10252e-05,5.10252e-05
86,344.667,1.45277,2.74267,0.00708,0.60734,0.25825,0.22981,0.14661,1.37062,2.64324,0.00709,4.80255e-05,4.80255e-05,4.80255e-05
87,348.532,1.4473,2.81827,0.00696,0.60735,0.25317,0.22969,0.1462,1.37707,2.63431,0.00712,4.50258e-05,4.50258e-05,4.50258e-05
88,351.873,1.38229,2.78496,0.00639,0.60635,0.2573,0.23053,0.14773,1.37623,2.63167,0.00709,4.20261e-05,4.20261e-05,4.20261e-05
89,355.082,1.45521,2.6951,0.00672,0.60325,0.25927,0.23102,0.14797,1.37677,2.62722,0.00709,3.90264e-05,3.90264e-05,3.90264e-05
