epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,6567.4,0.97118,0.39665,1.0065,0.99359,0.99301,0.99486,0.72466,1.00526,0.34983,1.02118,0.000406,0.000406,0.000406
62,6675.17,0.96284,0.39168,1.00216,0.99188,0.99568,0.99484,0.72314,1.00624,0.34718,1.01611,0.0003961,0.0003961,0.0003961
63,6783.59,0.95837,0.39163,0.9994,0.99242,0.99035,0.99454,0.72316,1.00288,0.34232,1.01088,0.0003862,0.0003862,0.0003862
64,6892.15,0.95916,0.39223,1.0045,0.99439,0.9901,0.99434,0.72457,1.00866,0.34795,1.01571,0.0003763,0.0003763,0.0003763
65,6998.86,0.95705,0.39244,1.00097,0.99187,0.99427,0.99484,0.7257,1.00565,0.34213,1.01468,0.0003664,0.0003664,0.0003664
66,7106.92,0.95461,0.39138,0.99885,0.99359,0.99267,0.99488,0.72573,1.00972,0.34126,1.01598,0.0003565,0.0003565,0.0003565
67,7215.97,0.95422,0.38459,0.99529,0.99707,0.98935,0.99488,0.72405,1.01144,0.34556,1.01753,0.0003466,0.0003466,0.0003466
68,7324.27,0.9535,0.38293,0.99843,0.99498,0.9936,0.99486,0.72219,1.01121,0.34214,1.0189,0.0003367,0.0003367,0.0003367
69,7430.68,0.94623,0.3839,0.99589,0.99383,0.99302,0.99486,0.72567,1.00154,0.33952,1.01704,0.0003268,0.0003268,0.0003268
70,7535.83,0.94313,0.38155,0.99657,0.99216,0.99418,0.99488,0.72471,1.00558,0.33884,1.01943,0.0003169,0.0003169,0.0003169
71,7640.99,0.94035,0.3812,0.99519,0.9976,0.98952,0.99492,0.72703,1.0056,0.33725,1.01745,0.000307,0.000307,0.000307
72,7746.77,0.93411,0.37608,0.99571,0.99297,0.9936,0.99488,0.72779,1.00222,0.33528,1.01421,0.0002971,0.0002971,0.0002971
73,7852.35,0.93639,0.37589,0.99183,0.99475,0.99316,0.99489,0.72656,1.00346,0.33568,1.01356,0.0002872,0.0002872,0.0002872
74,7957.44,0.93232,0.37156,0.99247,0.99474,0.99123,0.99486,0.726,1.0045,0.33465,1.01799,0.0002773,0.0002773,0.0002773
75,8063.13,0.93216,0.37524,0.99306,0.99317,0.99476,0.99486,0.72274,1.01454,0.33894,1.02135,0.0002674,0.0002674,0.0002674
76,8169.14,0.92437,0.37303,0.98569,0.9964,0.99127,0.99488,0.72474,1.00805,0.33696,1.01841,0.0002575,0.0002575,0.0002575
77,8278.51,0.93225,0.37207,0.99255,0.99486,0.99069,0.99408,0.72485,1.00922,0.3379,1.01876,0.0002476,0.0002476,0.0002476
78,8389.68,0.93335,0.37228,0.98932,0.99824,0.98925,0.99489,0.72547,1.00871,0.3346,1.01848,0.0002377,0.0002377,0.0002377
79,8500.7,0.93391,0.37486,0.99386,0.99517,0.99185,0.99484,0.72573,1.01005,0.33559,1.01941,0.0002278,0.0002278,0.0002278
80,8609.52,0.92846,0.36899,0.99439,0.99416,0.99131,0.99489,0.7234,1.00813,0.33447,1.01881,0.0002179,0.0002179,0.0002179
81,8721.08,0.92115,0.36553,0.98882,0.99532,0.99121,0.99416,0.72617,1.0103,0.33479,1.01902,0.000208,0.000208,0.000208
82,8830.54,0.91703,0.36271,0.9858,0.9934,0.99418,0.9943,0.72286,1.00775,0.33258,1.01619,0.0001981,0.0001981,0.0001981
83,8941.8,0.9111,0.36115,0.98615,0.9946,0.99185,0.99487,0.72481,1.00818,0.33322,1.01892,0.0001882,0.0001882,0.0001882
84,9054.7,0.91552,0.36362,0.98565,0.99567,0.99185,0.99487,0.72548,1.00254,0.32981,1.01601,0.0001783,0.0001783,0.0001783
