epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,104944,1.00012,0.40612,1.00306,0.99454,0.99069,0.99448,0.72318,1.01744,0.35428,1.00859,0.0004654,0.0004654,0.0004654
56,106738,0.99914,0.40651,1.00459,0.99302,0.99243,0.99491,0.72615,1.01577,0.35335,1.01094,0.0004555,0.0004555,0.0004555
57,108598,0.9854,0.4046,0.99984,0.99359,0.99297,0.99487,0.72529,1.01643,0.34986,1.0117,0.0004456,0.0004456,0.0004456
58,110449,0.99198,0.40658,1.00485,0.99446,0.99243,0.99479,0.72307,1.01745,0.35504,1.00618,0.0004357,0.0004357,0.0004357
59,112267,0.9966,0.40324,1.00747,0.99382,0.99418,0.99488,0.72324,1.01487,0.34817,1.01308,0.0004258,0.0004258,0.0004258
60,114327,0.99276,0.4008,1.00086,0.99475,0.99168,0.9949,0.72547,1.01493,0.35057,1.00857,0.0004159,0.0004159,0.0004159
61,116594,0.98467,0.3981,0.99635,0.99591,0.99212,0.99489,0.72608,1.01344,0.34746,1.00948,0.000406,0.000406,0.000406
62,118682,0.98097,0.39662,0.9991,0.99649,0.99157,0.99489,0.72755,1.01448,0.34478,1.00866,0.0003961,0.0003961,0.0003961
63,120822,0.98225,0.39531,1.00097,0.99345,0.99418,0.99489,0.72691,1.00906,0.34597,1.00693,0.0003862,0.0003862,0.0003862
64,122873,0.97732,0.39238,0.99447,0.99203,0.99476,0.99492,0.72463,1.018,0.34427,1.01137,0.0003763,0.0003763,0.0003763
65,124901,0.98859,0.39418,0.99796,0.99281,0.99476,0.99471,0.72892,1.00946,0.34049,1.00513,0.0003664,0.0003664,0.0003664
66,126865,0.98444,0.39404,0.99729,0.99155,0.99418,0.99477,0.72686,1.00869,0.34282,1.00393,0.0003565,0.0003565,0.0003565
67,128682,0.97173,0.39198,0.99541,0.99244,0.99397,0.99489,0.72502,1.01577,0.34433,1.00922,0.0003466,0.0003466,0.0003466
68,130464,0.97519,0.39069,0.99448,0.99072,0.99424,0.99488,0.72945,1.00798,0.33873,1.00706,0.0003367,0.0003367,0.0003367
69,132245,0.97042,0.38624,0.99426,0.99474,0.99044,0.99488,0.72927,1.00571,0.33639,1.00472,0.0003268,0.0003268,0.0003268
70,134123,0.96813,0.38639,0.9943,0.99463,0.9936,0.99492,0.72654,1.01131,0.34097,1.00796,0.0003169,0.0003169,0.0003169
71,136174,0.96709,0.38376,0.99859,0.99239,0.99593,0.99488,0.72749,1.00985,0.33864,1.00751,0.000307,0.000307,0.000307
72,138277,0.9668,0.38426,0.99447,0.99438,0.99243,0.99488,0.72737,1.01002,0.34077,1.00952,0.0002971,0.0002971,0.0002971
73,140333,0.96363,0.38126,0.99297,0.99479,0.99418,0.99488,0.72778,1.00546,0.3365,1.00641,0.0002872,0.0002872,0.0002872
74,142455,0.95895,0.38089,0.99256,0.99475,0.99288,0.99488,0.72696,1.00923,0.33589,1.00658,0.0002773,0.0002773,0.0002773
75,144556,0.95689,0.37741,0.98643,0.99361,0.99507,0.99478,0.72698,1.00814,0.33409,1.00874,0.0002674,0.0002674,0.0002674
76,146586,0.96195,0.38108,0.99146,0.99302,0.99383,0.99468,0.72535,1.00914,0.33678,1.00636,0.0002575,0.0002575,0.0002575
77,148383,0.94982,0.37695,0.98867,0.9936,0.99436,0.99488,0.72715,1.00487,0.33379,1.00511,0.0002476,0.0002476,0.0002476
78,150159,0.95671,0.3781,0.98783,0.99321,0.99418,0.99487,0.72704,1.00978,0.3362,1.00853,0.0002377,0.0002377,0.0002377
79,151945,0.95838,0.37406,0.99128,0.99523,0.99302,0.99485,0.727,1.00619,0.33316,1.00849,0.0002278,0.0002278,0.0002278
80,153722,0.94877,0.37329,0.9885,0.99418,0.9948,0.99489,0.7249,1.01115,0.33248,1.01062,0.0002179,0.0002179,0.0002179
81,155511,0.94641,0.3698,0.98574,0.99475,0.99298,0.99488,0.7265,1.01077,0.33195,1.01158,0.000208,0.000208,0.000208
82,184888,0.94201,0.37125,0.98633,0.9943,0.9936,0.99489,0.72842,1.01081,0.32971,1.00962,0.0001981,0.0001981,0.0001981
83,186864,0.94428,0.36911,0.98423,0.99417,0.9934,0.99486,0.72974,1.00876,0.3294,1.00684,0.0001882,0.0001882,0.0001882
84,188793,0.93892,0.3661,0.98551,0.99624,0.99302,0.9949,0.72909,1.00385,0.32848,1.00404,0.0001783,0.0001783,0.0001783
85,190606,0.93112,0.36333,0.97706,0.99535,0.99302,0.99489,0.72739,1.00545,0.32873,1.0046,0.0001684,0.0001684,0.0001684
86,192408,0.9395,0.36382,0.98251,0.99361,0.99496,0.99492,0.72787,1.00524,0.32866,1.00565,0.0001585,0.0001585,0.0001585
87,194306,0.93183,0.36307,0.98391,0.99361,0.99496,0.99489,0.72744,1.00747,0.32862,1.00734,0.0001486,0.0001486,0.0001486
88,196540,0.92657,0.36087,0.97945,0.99534,0.99417,0.99488,0.72682,1.00657,0.32596,1.00742,0.0001387,0.0001387,0.0001387
89,198887,0.93693,0.36117,0.9805,0.99476,0.99426,0.99489,0.7264,1.00615,0.32498,1.00714,0.0001288,0.0001288,0.0001288
90,201096,0.93239,0.35913,0.98136,0.99476,0.99431,0.99488,0.72753,1.00601,0.32519,1.0079,0.0001189,0.0001189,0.0001189
91,203216,0.91608,0.32957,0.9897,0.99349,0.99476,0.99491,0.72823,1.00735,0.32941,1.00788,0.000109,0.000109,0.000109
92,205182,0.90754,0.32358,0.98086,0.99591,0.99269,0.99493,0.72876,1.00664,0.32898,1.0074,9.91e-05,9.91e-05,9.91e-05
