epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,167.233,1.3618,2.04923,1.14639,0,0,0,0,0,0,0,8.665e-05,8.665e-05,8.665e-05
68,169.265,1.3438,2.02619,1.16071,0,0,0,0,0,0,0,8.4175e-05,8.4175e-05,8.4175e-05
69,172.126,1.35825,2.02301,1.18298,0,0,0,0,0,0,0,8.17e-05,8.17e-05,8.17e-05
70,174.345,1.38737,2.02563,1.16158,0,0,0,0,0,0,0,7.9225e-05,7.9225e-05,7.9225e-05
71,176.194,1.43891,2.0445,1.16683,0,0,0,0,0,0,0,7.675e-05,7.675e-05,7.675e-05
72,178.007,1.3937,2.01102,1.15762,0,0,0,0,0,0,0,7.4275e-05,7.4275e-05,7.4275e-05
73,179.861,1.38812,2.03904,1.18341,0,0,0,0,0,0,0,7.18e-05,7.18e-05,7.18e-05
74,181.769,1.39635,1.96411,1.19162,0,0,0,0,0,0,0,6.9325e-05,6.9325e-05,6.9325e-05
75,184.248,1.34788,1.89463,1.18921,0,0,0,0,0,0,0,6.685e-05,6.685e-05,6.685e-05
76,186.88,1.41349,1.99117,1.19535,0,0,0,0,0,0,0,6.4375e-05,6.4375e-05,6.4375e-05
77,188.822,1.52361,2.06526,1.25819,0,0,0,0,0,0,0,6.19e-05,6.19e-05,6.19e-05
78,190.719,1.36661,1.92134,1.17776,0,0,0,0,0,0,0,5.9425e-05,5.9425e-05,5.9425e-05
79,192.711,1.37903,1.95007,1.18581,0,0,0,0,0,0,0,5.695e-05,5.695e-05,5.695e-05
80,194.636,1.4196,1.88042,1.17439,0,0,0,0,0,0,0,5.4475e-05,5.4475e-05,5.4475e-05
81,197.015,1.38102,1.86055,1.24167,0,0,0,0,0,0,0,5.2e-05,5.2e-05,5.2e-05
82,199.734,1.39988,1.85051,1.17038,0,0,0,0,0,0,0,4.9525e-05,4.9525e-05,4.9525e-05
83,201.564,1.41669,1.95191,1.22342,0,0,0,0,0,0,0,4.705e-05,4.705e-05,4.705e-05
84,203.494,1.36853,1.90596,1.1553,0,0,0,0,0,0,0,4.4575e-05,4.4575e-05,4.4575e-05
85,205.365,1.38806,1.81881,1.23124,0,0,0,0,0,0,0,4.21e-05,4.21e-05,4.21e-05
86,207.33,1.37852,1.93651,1.21505,0,0,0,0,0,0,0,3.9625e-05,3.9625e-05,3.9625e-05
87,209.15,1.37082,1.9733,1.18116,0,0,0,0,0,0,0,3.715e-05,3.715e-05,3.715e-05
